Timestamp (ms),Gap Error (m)
1726249084931,0.6033373131374202
1726249084950,0.5856703566707728
1726249084968,0.6073222271310135
1726249084986,0.5648114717891501
1726249085000,0.586646821253348
1726249085021,0.5662447692971599
1726249085040,0.6100524907834606
1726249085065,0.5685345799075145
1726249085079,0.590306392224393
1726249085097,0.5696393935256063
1726249085116,0.612955835562035
1726249085131,0.5935518781290385
1726249085146,0.6151306714979015
1726249085165,0.5745868894635193
1726249085187,0.6181963161541457
1726249085206,0.5980997001989978
1726249085224,0.6207036647188846
1726249085245,0.5839082597190766
1726249085259,0.6061637041046146
1726249085277,0.586253085102681
1726249085293,0.6312830929023323
1726249085324,0.5930398245946416
1726249085336,0.6206289115283776
1726249085355,0.6005486929922137
1726249085372,0.6465612284386322
1726249085389,0.6265924762514112
1726249085407,0.6496640246949599
1726249085427,0.6078073498742125
1726249085453,0.6608104633253906
1726249085469,0.6402765554832368
1726249085486,0.6639381241610476
1726249085504,0.6222807058477264
1726249085521,0.648452794291587
1726249085540,0.627900889579887
1726249085556,0.6758155764567069
1726249085585,0.6331959407183172
1726249085599,0.6574816847309823
1726249085620,0.63516024824402
1726249085636,0.6866245502232688
1726249085653,0.6649771534532953
1726249085672,0.689152604592802
1726249085693,0.6453847845927045
1726249085722,0.6938610844040811
1726249085739,0.6755398697075181
1726249085756,0.6996635652169365
1726249085778,0.6554448553516656
1726249085792,0.6797301649297558
1726249085811,0.6573690893977737
1726249085828,0.7062182295011379
1726249085859,0.6657169752775114
1726249085874,0.6898420632608055
1726249085892,0.667378241603299
1726249085909,0.7124539155871124
1726249085927,0.6863916292234711
1726249085945,0.7099441494802758
1726249085964,0.6714097304834192
1726249085990,0.7184046789172966
1726249086008,0.6957555746451582
1726249086029,0.7163441007286786
1726249086046,0.6725139255018306
1726249086063,0.6954424867269502
1726249086081,0.6726372070600348
1726249086098,0.7179126372269931
1726249086124,0.6722090366606062
1726249086137,0.6913073272843944
1726249086155,0.6684286385363536
1726249086174,0.7122413572288249
1726249086194,0.6894827457994213
1726249086213,0.7068718963872271
1726249086233,0.6607658245072074
1726249086260,0.7035091783328027
1726249086277,0.6807240366248264
1726249086296,0.7019021682641524
1726249086314,0.6561566923154585
1726249086329,0.6761589831893664
1726249086347,0.6606013731059397
1726249086365,0.7026532106977061
1726249086391,0.657261048923544
1726249086406,0.678303804123515
1726249086426,0.6475871024680848
1726249086443,0.6901410846823559
1726249086462,0.6674062248967072
1726249086481,0.6881709338280753
1726249086500,0.6426522434946196
1726249086527,0.685547409714431
1726249086548,0.6622458510516971
1726249086566,0.6830885357991279
1726249086589,0.6375673815438438
1726249086605,0.6584900365261741
1726249086626,0.6371952006249906
1726249086642,0.6815027882096132
1726249086675,0.6363005094670977
1726249086691,0.6572322234026506
1726249086710,0.6346053782675356
1726249086726,0.6804075408920278
1726249086745,0.6591072351383676
1726249086761,0.6800547191203274
1726249086780,0.6353607423527432
1726249086804,0.6774395140071832
1726249086820,0.6456927913739903
1726249086835,0.6663542937740172
1726249086859,0.6306502552948148
1726249086873,0.6517175207517671
1726249086891,0.6294251541628166
1726249086908,0.6771879160929988
1726249086934,0.6322737599896961
1726249086948,0.6533636472591144
1726249086966,0.631327766916701
1726249086984,0.6736253498019886
1726249086999,0.6518193442641311
1726249087016,0.6736932592552667
1726249087036,0.6300528254535247
1726249087059,0.6722633083245446
1726249087077,0.6507027737948574
1726249087092,0.6716284912601824
1726249087109,0.6284879607341685
1726249087122,0.6495240617217952
1726249087140,0.6271270439086005
1726249087156,0.6692097445002498
1726249087181,0.6262862479130771
1726249087195,0.6474684261224994
1726249087213,0.6259805804365803
1726249087231,0.6740186878227483
1726249087247,0.6528590600904329
1726249087263,0.6745026135599423
1726249087282,0.6318606965004392
1726249087306,0.6759696052857858
1726249087322,0.6439156282925564
1726249087339,0.6678957504777663
1726249087358,0.6338018449948462
1726249087372,0.6563738738785228
1726249087391,0.6350588522916549
1726249087408,0.6910869227264143
1726249087437,0.6464323257285929
1726249087451,0.6697827699778824
1726249087470,0.6486054863150987
1726249087489,0.695688830747931
1726249087505,0.6746825768940425
1726249087522,0.7023963499704782
1726249087540,0.6594814922814196
1726249087562,0.7075223433642961
1726249087579,0.686613578834228
1726249087595,0.7106977808991024
1726249087614,0.6688226150638155
1726249087627,0.697208969829068
1726249087644,0.6824411130665506
1726249089451,0.4843885722748644
1726249089453,0.5030393196718435
1726249089465,0.4617269464804783
1726249089480,0.481070116533336
1726249089501,0.46039089237257746
1726249089519,0.5073834311043321
1726249089545,0.467559283892766
1726249089559,0.48853186066618837
1726249089577,0.46831952146850964
1726249089596,0.5115415963798036
1726249089610,0.49169273327629726
1726249089627,0.5240050797084015
1726249089646,0.48346147781064275
1726249089669,0.5295799179095866
1726249089685,0.5099864691642813
1726249089702,0.5335245790958396
1726249089722,0.49704679241423944
1726249089735,0.52330470338786
1726249089754,0.5040190731434926
1726249089771,0.55281356474236
1726249089800,0.5148951383774558
1726249089818,0.5535106126896516
1726249089837,0.5344210985520563
1726249089852,0.5748014781080508
1726249089869,0.5561215179116976
1726249089886,0.5816018761318893
1726249089904,0.5445441017265078
1726249089928,0.5983410633694346
1726249089943,0.5820990522028744
1726249089959,0.6081845998811151
1726249089977,0.5717960796578025
1726249089991,0.598238639609256
1726249090009,0.5800547813286938
1726249090027,0.6332523155947367
1726249090053,0.5966970341417941
1726249090071,0.6235450783143923
1726249090088,0.605394484840708
1726249090108,0.6580813349626764
1726249090127,0.6338405631078912
1726249090143,0.6607529785103301
1726249090162,0.629395663005115
1726249090189,0.6834697389181796
1726249090205,0.6651178008687495
1726249090221,0.6913076615580742
1726249090240,0.6561173503007263
1726249090256,0.683353827815889
1726249090276,0.664597442444308
1726249090295,0.7189949640150637
1726249090320,0.6790911045648951
1726249090335,0.7028999881283098
1726249090354,0.6836840530466937
1726249090370,0.7376647195533921
1726249090387,0.7184799197683969
1726249090404,0.7453457108697914
1726249090424,0.7066081974680509
1726249090449,0.753851392980132
1726249090464,0.7341354690595789
1726249090480,0.7603839439399125
1726249090500,0.7203821040254392
1726249090511,0.7462643579165178
1726249090529,0.7239365326224054
1726249090546,0.7674757672442523
1726249090570,0.7260310337385216
1726249090583,0.7514551327061181
1726249090601,0.7303830869868935
1726249090620,0.7706424533727909
1726249090635,0.747749345729698
1726249090650,0.7721947265102869
1726249090668,0.7291755463123635
1726249090692,0.7778002260850889
1726249090708,0.7560577498452914
1726249090724,0.7715963625080131
1726249090743,0.7260488223141368
1726249090756,0.7495147150589871
1726249090775,0.7269329951189056
1726249090790,0.7731519345613314
1726249090818,0.7269101501136541
1726249090832,0.7430706616288565
1726249090850,0.7198927450932646
1726249090865,0.7643854777025241
1726249090881,0.7411246358407535
1726249090897,0.762821342936685
1726249090917,0.7153309201132672
1726249090938,0.7498310813192224
1726249090953,0.7260355957157891
1726249090968,0.7470922359751029
1726249090986,0.6991804779837367
1726249090999,0.7198955683353456
1726249091017,0.6956669795451957
1726249091033,0.7294174625193923
1726249091058,0.680392899761777
1726249091073,0.7000965576371412
1726249091091,0.6752547665231012
1726249091107,0.7137313632332387
1726249091124,0.680407727190548
1726249091138,0.6846176928742453
1726249091159,0.6417382094075843
1726249091185,0.6777691814111946
1726249091201,0.6524722904021676
1726249091217,0.6755890696205937
1726249091233,0.6245733833387908
1726249091246,0.6420619551901909
1726249091264,0.6163808939453022
1726249091280,0.6507994515278366
1726249091305,0.5992786228711973
1726249091319,0.6104602532161136
1726249091338,0.5853248328796243
1726249091356,0.6180253109336715
1726249091371,0.5921110975938917
1726249091387,0.6080360372061393
1726249091404,0.5561282033010446
1726249091433,0.5837448648669805
1726249091449,0.5582691914670681
1726249091465,0.573705502586562
1726249091486,0.5216399667338067
1726249091502,0.5369578969298097
1726249091517,0.5118850342834267
1726249091535,0.5444036768584275
1726249091562,0.49262454209997086
1726249091573,0.507935149605037
1726249091590,0.4820548866867318
1726249091604,0.5122496753305903
1726249091620,0.4800761830755591
1726249091635,0.4899933854358878
1726249091652,0.44638067118223423
1726249091675,0.4757453389986883
1726249091690,0.45032185429719984
1726249091706,0.46505689250345195
1726249091723,0.41801909623834255
1726249091735,0.44606991009929575
1726249091753,0.42108312348725896
1726249091769,0.4515048277442475
1726249091794,0.4023091694868175
1726249091808,0.4310183137296786
1726249091826,0.4108093886800339
1726249091841,0.4358879628790353
1726249091860,0.4120917387546408
1726249091876,0.4279450702783132
1726249091893,0.3809609650893304
1726249091917,0.4140519902825597
1726249091934,0.3970950915462228
1726249091953,0.4136873880650451
1726249091970,0.3690709311966218
1726249091983,0.38609277642719686
1726249092001,0.36421575269767525
1726249092015,0.4062652758715408
1726249092039,0.3695030497824461
1726249092052,0.38756145383893204
1726249092068,0.3670244521255881
1726249092085,0.4041141812784501
1726249092100,0.38416762422927064
1726249092115,0.4173673172443615
1726249092133,0.3855641919738042
1726249092156,0.42564350469744316
1726249092174,0.40696811524897947
1726249092191,0.4274963289367635
1726249092208,0.39101909357643105
1726249092220,0.4209814495589528
1726249092238,0.4052323315608335
1726249092254,0.449060810499458
1726249092283,0.41442621665580726
1726249092296,0.4370563117954094
1726249092312,0.42002785879443616
1726249092329,0.47677986574091413
1726249092344,0.4623301169823031
1726249092359,0.48603133774137164
1726249092379,0.45331166874594375
1726249092403,0.5019955784346957
1726249092418,0.47962983971472717
1726249092438,0.5080957079814943
1726249092455,0.4827163860089523
1726249092469,0.5079202640722897
1726249092486,0.49216640796819644
1726249092502,0.5433048397001214
1726249092526,0.5104430371178243
1726249092540,0.5501000999954928
1726249092562,0.534649742266565
1726249092579,0.5878106368693179
1726249092594,0.5725503397512184
1726249092610,0.6071063163603556
1726249092626,0.5770467721267871
1726249092650,0.6316520348566255
1726249092665,0.6164198172199753
1726249092681,0.6439096261680026
1726249092699,0.6136184483352212
1726249092713,0.6548376673634935
1726249092733,0.6389830488942283
1726249092748,0.6863846177905093
1726249092774,0.655237310135258
1726249092787,0.6833559907868598
1726249092806,0.6674705469195423
1726249092820,0.7266265942209169
1726249092837,0.7060079494800195
1726249092853,0.7342852867208407
1726249092870,0.7011313188275379
1726249092892,0.7579379161666764
1726249092906,0.7409609568108211
1726249092921,0.7732196360833168
1726249092938,0.7367163312745579
1726249092952,0.7653206470518183
1726249092971,0.7473821639246694
1726249092987,0.8046188073356491
1726249093010,0.7679518723277936
1726249093023,0.7991515433093741
1726249093041,0.7817639675678958
1726249093056,0.8391077761018484
1726249093073,0.8201330270780365
1726249093089,0.8488109645227406
1726249093106,0.8099866739681252
1726249093129,0.8687888016401262
1726249093146,0.8436916560621879
1726249093161,0.872333349243879
1726249093179,0.8315753701889959
1726249093191,0.8602420501073156
1726249093209,0.8394020172194168
1726249093225,0.896771921560855
1726249093251,0.8536932346825319
1726249093263,0.8823021548868333
1726249093280,0.860702038976112
1726249093295,0.9176426244866729
1726249093310,0.8958442822436252
1726249093325,0.9236271026238199
1726249093343,0.8777958889594881
1726249093367,0.9342872944532545
